state,timestamp,leading_candidate_name,trailing_candidate_name,leading_candidate_votes,trailing_candidate_votes,vote_differential,votes_remaining,new_votes,new_votes_relevant,new_votes_formatted,leading_candidate_partition,trailing_candidate_partition,precincts_reporting,precincts_total,hurdle,hurdle_change,hurdle_mov_avg,counties_partition,total_votes_count,dd,tt,state_clean,trump_win_rate_list,ddtt,idx
New Hampshire (EV: 4),28:22.1,Biden,Trump,321924,272547,49377,199832,0,0,0,0,0,221,301,0.625711454,-0.374288546,,{},606350,20201104,1328,New Hampshire,0.458469799,202011041328,NH
New Jersey (EV: 14),28:22.1,Biden,Trump,1765268,1098019,667249,1663332,0,0,0,0,0,3602,6334,0.703819134,-0.296180866,,{},2900902,20201104,1328,New Jersey,0.383481991,202011041328,NJ
New Mexico (EV: 5),28:22.1,Biden,Trump,492698,400413,92285,10829,0,0,0,0,0,1807,1849,4.857488857,3.857488857,,{},913147,20201104,1328,New Mexico,0.448335089,202011041328,NM
Nevada (EV: 6),28:22.1,Biden,Trump,588252,580605,7647,212461,0,0,0,0,0,1610,1993,0.518415561,-0.481584439,,{},1192915,20201104,1328,Nevada,0.496728856,202011041328,NV
New York (EV: 29),28:22.1,Biden,Trump,4122280,2867699,1254581,1534011,0,0,0,0,0,11665,14931,0.914665488,-0.085334512,,{},7082194,20201104,1328,New York,0.4102586,202011041328,NY
Ohio (EV: 18),28:22.1,Trump,Biden,3038247,2576590,461657,220551,0,0,0,0,0,7730,8933,1.562422512,0.562422512,,{},5701651,20201104,1328,Ohio,0.541110454,202011041328,OH
Oklahoma (EV: 7),28:22.1,Trump,Biden,1018870,503289,515581,2072,0,0,0,0,0,1848,1948,127.8980852,126.8980852,,{},1558627,20201104,1328,Oklahoma,0.669358457,202011041328,OK
Oregon (EV: 7),28:22.1,Biden,Trump,1240318,863222,377096,205891,0,0,0,0,0,1257,1334,1.44583843,0.44583843,,{},2168430,20201104,1328,Oregon,0.410366335,202011041328,OR
Pennsylvania (EV: 20),28:22.1,Trump,Biden,2969504,2350664,618840,1532573,0,0,0,0,0,6905,9128,0.704466457,-0.295533543,,{},5392682,20201104,1328,Pennsylvania,0.558159818,202011041328,PA
Rhode Island (EV: 4),28:22.1,Biden,Trump,285122,189521,95601,36062,0,0,0,0,0,394,421,1.85254368,0.85254368,,{},481695,20201104,1328,Rhode Island,0.399291678,202011041328,RI
South Carolina (EV: 9),28:22.1,Trump,Biden,1308157,952006,356151,219560,0,0,0,0,0,2043,2263,1.323069879,0.323069879,,{},2294642,20201104,1328,South Carolina,0.578788786,202011041328,SC
South Dakota (EV: 3),28:22.1,Trump,Biden,244148,127209,116939,41164,0,0,0,0,0,653,693,1.958699847,0.958699847,,{},381611,20201104,1328,South Dakota,0.657448224,202011041328,SD
Tennessee (EV: 11),28:22.1,Trump,Biden,1849791,1139364,710427,4380,0,0,0,0,0,1898,1908,83.1596793,82.1596793,,{},3049471,20201104,1328,Tennessee,0.618834085,202011041328,TN
Texas (EV: 38),28:22.1,Trump,Biden,5844683,5171936,672747,138945,0,0,0,0,0,8876,9554,2.957484489,1.957484489,,{},11182858,20201104,1328,Texas,0.530533279,202011041328,TX
Utah (EV: 6),28:22.1,Trump,Biden,610008,401589,208419,437925,0,0,0,0,0,1683,2187,0.748457086,-0.251542914,,{},1049752,20201104,1328,Utah,0.603014837,202011041328,UT
Virginia (EV: 13),28:22.1,Biden,Trump,2315822,1927114,388708,161573,0,0,0,0,0,2382,2584,1.726121365,0.726121365,,{},4312181,20201104,1328,Virginia,0.454193511,202011041328,VA
Vermont (EV: 3),28:22.1,Biden,Trump,226562,110486,116076,18803,0,0,0,0,0,266,275,3.689984827,2.689984827,,{},348625,20201104,1328,Vermont,0.327804942,202011041328,VT
Washington (EV: 12),28:22.1,Biden,Trump,2023498,1221263,802235,763295,0,0,0,0,0,6567,7436,1.043231976,0.043231976,,{},3324337,20201104,1328,Washington,0.376379955,202011041328,WA
Wisconsin (EV: 10),28:22.1,Biden,Trump,1630337,1609640,20697,592,0,0,0,0,0,3617,3661,18.28595083,17.28595083,,{},3296836,20201104,1328,Wisconsin,0.496805996,202011041328,WI
West Virginia (EV: 5),28:22.1,Trump,Biden,539550,232424,307126,8526,0,0,0,0,0,1685,1706,18.81739584,17.81739584,,{},786126,20201104,1328,West Virginia,0.698922503,202011041328,WV
Wyoming (EV: 3),28:22.1,Trump,Biden,193279,73440,119839,422,0,0,0,0,0,444,483,147.6547602,146.6547602,,{},276343,20201104,1328,Wyoming,0.724654037,202011041328,WY
Texas (EV: 38),35:13.1,Trump,Biden,5844683,5171936,672747,138944,1,0,0,0,0,8876,9554,2.957502176,1.77E-05,,{'Houston': 1},11182859,20201104,1335,Texas,0.530533279,202011041335,TX
Michigan (EV: 16),44:48.7,Trump,Biden,2430742,2403119,27623,623377,32860,32540,"32,540",0.501382913,0.498617087,4212,4974,0.522502905,0.001196443,0.498617087,{'Macomb': 32860},4915925,20201104,1344,Michigan,0.50285724,202011041344,MI
Texas (EV: 38),48:24.3,Trump,Biden,5844833,5171964,672869,138766,178,178,178,0.842696629,0.157303371,8876,9554,2.96110073,0.003598554,0.157303371,{'Houston': 179},11183037,20201104,1348,Texas,0.530538323,202011041348,TX
Michigan (EV: 16),56:36.9,Trump,Biden,2438244,2416822,21422,601913,21464,21205,"21,205",0.353784485,0.646215515,4225,4974,0.518073606,-0.004429299,0.602933333,{'Oakland': 21464},4937389,20201104,1356,Michigan,0.502206149,202011041356,MI
Vermont (EV: 3),56:36.9,Biden,Trump,226816,110753,116063,18264,539,521,521,0.487523992,0.512476008,267,275,3.7837586,0.093773773,0.512476008,{'Bennington': 539},349164,20201104,1356,Vermont,0.328089961,202011041356,VT
Georgia (EV: 16),15:56.6,Trump,Biden,2384312,2280607,103705,272179,78,77,77,0.142857143,0.857142857,2493,2655,0.692910847,-4.70E-05,0.857142857,{'Mitchell': 78},4723313,20201104,1415,Georgia,0.511115413,202011041415,GA
Maine (EV: 4),15:56.6,Biden,Trump,340567,263463,77104,195944,3115,3067,"3,067",0.437235083,0.562764917,305,552,0.702597642,0.002174584,0.562764917,"{'Aroostook': 460, 'Penobscot': 2655}",623517,20201104,1415,Maine,0.436175356,202011041415,ME
Michigan (EV: 16),15:56.6,Biden,Trump,2487715,2483503,4212,484128,117785,116152,"116,152",0.610346787,0.389653213,4393,4974,0.504418213,0.022491819,0.389653213,"{'Lapeer': 6795, 'Macomb': 9293, 'Oakland': 48493, 'Sanilac': 2169, 'Wayne': 51035}",5055174,20201104,1415,Michigan,0.499576361,202011041415,MI
California (EV: 55),23:44.0,Biden,Trump,7729112,3899683,3829429,5645559,1831,1783,"1,783",0.439147504,0.560852496,14900,20498,0.846687523,9.28E-05,0.560852496,{'San Joaquin': 1831},11850347,20201104,1423,California,0.335347128,202011041423,CA
Connecticut (EV: 7),23:44.0,Biden,Trump,930005,636007,293998,233584,4247,4170,"4,170",0.44940048,0.55059952,632,753,1.139239299,0.010513867,0.55059952,{'Windham': 4247},1590733,20201104,1423,Connecticut,0.406131626,202011041423,CT
Maine (EV: 4),23:44.0,Biden,Trump,340762,263741,77021,195442,502,473,473,0.412262156,0.587737844,306,552,0.702899372,0.000301729,0.566101695,{'Sagadahoc': 502},624019,20201104,1423,Maine,0.436293947,202011041423,ME
